#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 628000      3.24e-01      8.65e-03      1.49e-02    4.6e-04
 630000      2.67e-01      6.24e-03      1.23e-02    4.6e-04
 632000      5.02e-02      1.07e-03      2.31e-03    4.6e-04
 634000      5.55e-01      8.52e-03      2.57e-02    4.6e-04
 636000      2.86e-01      4.42e-03      1.33e-02    4.6e-04
 638000      6.68e-01      1.79e-02      3.08e-02    4.6e-04
 640000      6.65e-01      3.13e-03      3.17e-02    4.4e-04
 642000      1.27e-01      1.21e-02      4.97e-03    4.4e-04
 644000      1.53e-01      8.76e-04      7.26e-03    4.4e-04
 646000      1.23e-01      1.95e-02      1.81e-03    4.4e-04
 648000      8.28e-02      4.64e-03      3.83e-03    4.4e-04
 650000      1.56e-01      3.64e-02      9.52e-04    4.4e-04
 652000      8.02e-01      1.21e-02      3.81e-02    4.4e-04
 654000      6.46e-01      1.20e-02      3.07e-02    4.4e-04
 656000      1.65e-01      1.52e-02      7.23e-03    4.4e-04
 658000      1.11e-01      9.24e-03      4.58e-03    4.4e-04
 660000      4.68e-01      4.54e-03      2.23e-02    4.4e-04
 662000      1.09e-01      1.20e-02      4.59e-03    4.4e-04
 664000      2.14e-01      4.66e-02      3.82e-03    4.4e-04
 666000      9.88e-02      4.42e-03      4.62e-03    4.4e-04
 668000      1.51e-01      2.25e-02      3.24e-03    4.4e-04
 670000      8.27e-02      5.44e-03      3.62e-03    4.4e-04
 672000      1.22e-01      9.27e-03      5.51e-03    4.4e-04
 674000      6.11e-01      1.02e-02      2.91e-02    4.4e-04
 676000      1.65e-01      3.02e-02      4.94e-03    4.4e-04
 678000      1.12e-01      1.58e-02      4.24e-03    4.4e-04
 680000      5.43e-01      3.01e-03      2.65e-02    4.2e-04
 682000      9.93e-02      3.71e-03      4.79e-03    4.2e-04
 684000      1.55e-01      2.34e-02      2.87e-03    4.2e-04
 686000      6.77e-01      1.24e-02      3.30e-02    4.2e-04
 688000      3.08e-01      1.09e-02      1.49e-02    4.2e-04
 690000      5.90e-01      1.53e-02      2.86e-02    4.2e-04
 692000      1.66e-01      8.98e-03      7.67e-03    4.2e-04
 694000      8.21e-01      6.73e-03      4.01e-02    4.2e-04
